Date,Type,Link
2018-09-30 18:46:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6452161267636539392
2018-09-14 18:04:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6440202691376410624
2018-07-07 06:44:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6420957088100556800
2018-06-23 06:38:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6414903338814443520
2018-06-21 16:14:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6415497218417135616
2018-06-15 17:28:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A8673061-6413338101183184898
2018-06-15 17:26:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6413366262017118208
2018-06-08 17:30:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6410801316121186305
2018-04-22 08:20:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6390478711333879808
2018-03-13 20:12:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6379396447057510400
